link,annotation,article
https://t-j.ru/ask/state-bonds/,Какие у ОФЗ особенности?,"Низкий кредитный риск. Основное преимущество ОФЗ по сравнению с другими облигациями — высокая надежность. Кредитный риск ОФЗ ниже, чем у облигаций крупных компаний и тем более высокодоходных облигаций небольших или проблемных эмитентов.Дефолт по рублевым облигациям маловероятен даже в случае санкций против госдолга. Минфин, как орган власти, вряд ли останется без рублей для выплат. Кроме того, у России есть большой золотой запас и более устойчивая экономика и финансовая система, чем 26 лет назад, когда случился крах пирамиды ГКО.Высокая ликвидность. Все ОФЗ, кроме народных, торгуются на бирже. У ОФЗ, по крайней мере с постоянным купоном, обычно высокая ликвидность: есть много заявок на покупку и продажу облигаций, а разница между ценами покупки и продажи небольшая. Приемлемая доходность. У таких облигаций эффективная доходность к погашению сопоставима с доходностью вкладов в крупных банках."
https://t-j.ru/summary-savings/,"Как хранить деньги, которые могут понадобиться неожиданно?","Вот как лучше хранить деньги, которые вы не планируете тратить в ближайшее время, но знаете, что они могут понадобиться внезапно. Это, например, касается финансовой подушки.

Держать 50—75% в рублях, остальное — в иностранной валюте. Пропорции могут быть другими, определяется это тем, зависит ли товар или услуга, которые вы планируете на эти деньги купить, от курса валюты. И ожидается ли изменение курса валют.

Использовать банковские вклады на 1—3 месяца, не дольше. Плюс вкладов — на них прописана неизменяемая доходность. Минус — если снимать деньги раньше срока, теряются проценты. Поэтому свободные деньги нельзя хранить на долгосрочных вкладах. Открыть накопительный счет с процентами на остаток. Можно снимать деньги без потери процентов, а если ЦБ поднимает ставку, на накопительном счете ставка тоже растет. Минусы — аналогично, при снижении ставки Центробанком снижается и ставка по накопительному счету. И доходность по накопительному счету обычно ниже доходности по вкладу. Использовать карту с процентами на остаток. Деньги можно легко снимать без потери процентов. Минусы — есть риск тратить на импульсивные покупки, а еще реквизиты могут украсть.

Хранить деньги наличными или просто на банковской карте неэффективно из-за рисков и инфляции."
https://t-j.ru/summary-savings/,Как защитить деньги от кризиса?,"Стремиться защитить накопления от кризиса стоит, если сходятся два фактора:

У вас есть крупная, по вашим меркам, сумма денег.
Вы считаете, что ситуация в экономике станет заметно хуже. Например, не доверяете банковской системе и экономике страны в целом.
Способы защитить деньги от кризиса:

часть накоплений перевести в иностранную валюту;
держать часть денег на обезличенных металлических счетах, то есть открыть счет и купить у банка золото;
купить ценные бумаги фонда, который вкладывается в золото, например фонд TGLD от Т-Капитал;
купить золото в виде слитков или инвестиционных монет;
купить недвижимость, если есть такие средства."
https://t-j.ru/nalog-na-vklady/,Кто должен платить налог на вклады?,"Налог на вклады платят все владельцы вкладов и накопительных счетов в российских банках, в том числе нерезиденты. Льгот для отдельных категорий граждан, например пенсионеров и многодетных родителей, нет, даже если они пользуются социальными вкладами и накопительными счетами."
https://t-j.ru/nalog-na-vklady/,Какие вклады облагаются налогом?,"Вклады в рублях. Выплаченные проценты по ним облагаются НДФЛ. Исключения — вклады со ставкой до 1% годовых и счета эскроу , которые используются для проведения сделок, например при продаже недвижимости.Вклады в иностранной валюте. Выплаченные проценты облагаются налогом независимо от ставки по вкладу .

Если подорожала сама валюта, то налог с разницы платить не нужно. Исключение — если вы продадите валюту в течение трех лет после покупки. Тогда придется указать это в декларации 3-НДФЛ и уплатить налог с прибыли. Или воспользоваться имущественным вычетом: 250 000 ₽ — общий лимит на операции в течение года со всеми видами имущества, кроме жилья. Если объем операций с валютой не превысил 250 000 ₽, то налог платить не нужно."
https://t-j.ru/nalog-na-vklady/,Что такое срочный вклад?,"Срочный вклад — это вклад, который открывают на определенный срок, например на месяц, полгода, год. Большинство вкладов именно срочные. Если вывести деньги раньше, банк снизит ставку — это указано в договоре.

Такие вклады часто автоматически продлевают, когда срок заканчивается, — это называют пролонгацией. Период и условия пролонгации пишут в договоре, но они могут отличаться от первоначальных."
https://t-j.ru/nalog-na-vklady/,Что такое пенсионный вклад?,"Пенсионный вклад — это специальный вклад для людей пенсионного возраста. Часто банк предлагает особые условия вроде повышенной ставки, пополнение или досрочное снятие с сохранением процентов и другие льготы. Но лучше сравнивать условия: порой и обычный вклад может быть выгоднее.

Обычно нужно, чтобы человек получал пенсию на карту именно этого банка."
https://t-j.ru/list/fin-metrics/,На какую отчетность смотреть?,"Российские компании обычно отчитываются по двум стандартам: МСФО — международный стандарт финансовой отчетности и РСБУ — российский стандарт. Цифры в них, как правило, не совпадают из-за разных методик бухгалтерского учета."
https://t-j.ru/list/fin-metrics/,Что такое выручка?,"Это все деньги, которые компания получила от продажи товаров и услуг за определенный период — месяц, квартал или год; исключение — когда клиент внес аванс, но сделка не закрыта — эти деньги будут учтены в следующем периоде, даже если они уже поступили на счет.

Выручка отражает масштаб бизнеса. Чем больше компания или ИП продает, тем больше у них клиентов и тем активнее бизнес на рынке. Правда, рост выручки может быть связан не только с расширением рынков сбыта или увеличением спроса, но и с инфляцией: издержки растут — цены тоже.Если выручка остается на одном уровне на протяжении многих лет, это может говорить о том, что бизнес достиг потолка. Такие компании вместо инвестиций в новые направления поддерживают текущую инфраструктуру и распределяют свободные деньги среди акционеров в виде дивидендов."
https://t-j.ru/list/fin-metrics/,Как анализировать выручку компаний?,"При анализе динамики выручки важно не только смотреть, как она менялась по кварталам или годам, но и сравнивать темпы роста с конкурентами. Так, в первом квартале 2025 года выручка «Северстали» упала по сравнению с 2024. Но у конкурентов — ММК и НЛМК — ситуация похожая. Это говорит о проблемах всей металлургической отрасли на фоне высокой ключевой ставки и охлаждения экономики.Также важно обращать внимание на сезонность и структуру выручки. Расскажу подробнее.

Сезонность. Выручка некоторых компаний подвержена сезонным колебаниям. Например, фермер получает основной доход осенью — после сбора урожая. А у продуктовых ретейлеров хорошим считается четвертый квартал: новогодние траты россиян резко поднимают продажи.

Структура. Это распределение общего дохода компании по различным источникам: категориям товаров, услуг или по географическим регионам. Структура показывает, на чем бизнес зарабатывает больше всего и насколько диверсифицированы его доходы."
https://t-j.ru/list/fin-metrics/,Что такое прибыль?,"Прибыль - сумма, которая получается, если из выручки вычесть расходы. В финансовых отчетах компаний встречаются несколько разновидностей прибыли."
https://t-j.ru/list/fin-metrics/,Что такое валовая прибыль?,"Валовая прибыль, Gross Profit. Самый «сырой» вид прибыли. Показывает, сколько денег остается у компании после покрытия основных производственных расходов. Для расчета валовой прибыли берут выручку и из нее вычитают себестоимость продукции или услуг. Себестоимость обычно включает затраты на сырье, материалы, зарплаты работников и амортизацию оборудования. По размеру валовой прибыли мы можем оценить эффективность бизнеса — его способность зарабатывать на своей основной деятельности. Если этот показатель растет, это может говорить о сильной рыночной позиции компании, востребованности ее продукции и эффективном управлении издержками. Снижение часто сигнализирует о росте затрат на сырье, падении спроса или проблемах в ценовой политике бизнеса. Валовая прибыль сильно различается в зависимости от отрасли, потому что у разных бизнесов разная себестоимость продукции. Например, значительная часть себестоимости товаров производственных предприятий — это закупка сырья и переработка. У ретейла — закупка товара. А у разработчиков софта материальных затрат мало — себестоимость в основном состоит из зарплат специалистов и стоимости инфраструктуры: серверов, компьютеров, программного обеспечения. Поэтому валовая прибыль разработчиков часто выше, чем у классических производственных бизнесов."
https://t-j.ru/list/fin-metrics/,Что такое операционная прибыль? ,"Операционная прибыль, Operating Profit / EBIT. Учитывает не только прямые затраты на производство, но и все текущие расходы: аренду офиса и складов, зарплаты менеджеров и бухгалтеров, маркетинг, коммунальные услуги, ремонт и обслуживание оборудования. Все эти расходы вычитают из валовой прибыли."
https://t-j.ru/list/fin-metrics/,Что такое чистая прибыль?,"Чистая прибыль, Net Income. Это прибыль до налогообложения минус налоги и сборы. Она показывает, сколько денег компания в итоге заработала для своих акционеров. В отчете о прибылях и убытках чистую прибыль часто указывают в нижней строке, поэтому ее называют bottom line. Положительная чистая прибыль означает, что компания работает эффективно и создает добавочную стоимость для акционеров. Стабильный рост чистой прибыли — один из главных факторов роста стоимости акций компании. Однако важно смотреть не только на сам факт прибыли, но и на ее структуру. Она может быть получена за счет разовых операций — продажи активов или курсовых разниц — что не отражает реальной операционной эффективности. Отрицательная чистая прибыль, то есть убыток, не всегда сигнализирует о проблемах. Быстрорастущие компании часто остаются убыточными какое-то время, потому что инвестируют в развитие, продают товары с минимальной маржой и наращивают долю рынка."
https://t-j.ru/list/fin-metrics/,Что такое EBITDA?,"Прибыль до вычета процентов, налогов и амортизации. По этому показателю можно судить, сколько могла бы заработать компания, если бы не надо было платить налоги, выплачивать проценты по долговым обязательствам, а также учитывать в бухгалтерской отчетности амортизацию материальных и нематериальных активов.

Этот показатель нужен, чтобы оценить, насколько эффективно бизнес зарабатывает за счет своей операционной деятельности — производства и продаж. Ведь амортизация — это «бумажный» расход: деньги за станки или патенты уже заплачены, а бухгалтерия лишь из года в года распределяет их стоимость в отчетах. А налоги и проценты зависят от налоговой системы и структуры капитала, а не от работы менеджеров. Поэтому их тоже исключают, чтобы увидеть состояние «двигателя» бизнеса под капотом."
https://t-j.ru/list/fin-metrics/,Что такое маржинальность?,"Показатель, который демонстрирует, насколько эффективно компания превращает выручку в прибыль; чем выше показатель, тем больше зарабатывает бизнес."
https://t-j.ru/list/fin-metrics/,Что такое оборотный капитал?,"Бизнесу нужны ресурсы, которые можно быстро превратить в деньги, — сырье, готовая продукция, товары на полках. Все это вместе с дебиторской задолженностью и краткосрочными финансовыми активами ​относится к оборотным активам.

Но помимо них у компании есть краткосрочные обязательства: надо платить зарплаты, рассчитываться с поставщиками, обслуживать кредиты. Разница между оборотными активами компании и краткосрочными обязательствами и есть оборотный капитал."
https://моифинансы.рф/materials/materialy-dlya-provedeniya-meropriyatiy-po-tematike-finanso,"Как отличить поддельный сайт, ссылку или сообщение?","1.Адресная строка:
●	Проверьте наличие протокола HTTPS перед адресом страницы – надежный сайт всегда защищён протоколом безопасности. В адресной строке современных браузеров такое соединение обычно обозначается значком замочка. Однако сам факт наличия HTTPS не гарантирует защиту от мошенничества, ведь злоумышленники также могут использовать этот протокол.
●	Убедитесь, что доменное имя соответствует официальному сайту компании или организации. Часто мошеннические ресурсы используют похожие имена, например, меняя буквы местами или используя схожие символы («googIe.com», «facebok.ru»).
   
2.Контактная информация:
●	Настоящие официальные сайты предоставляют подробную контактную информацию: адреса офисов, телефоны горячей линии, юридический адрес компании. Если такие данные отсутствуют или выглядят сомнительно, это повод насторожиться.

3.Дизайн и оформление:
●	Поддельные сайты могут иметь низкое качество дизайна, некорректные шрифты, орфографические ошибки и плохое форматирование текста. Это связано с тем, что создание качественного интерфейса требует значительных усилий и ресурсов.
●	Обратите внимание на логотип и фирменный стиль – подделка может содержать искажённые элементы бренда.

4. Отсутствие отзывов и сертификатов:
●	Официальные сайты крупных компаний обычно содержат отзывы клиентов, сертификаты качества продукции, лицензии и другие подтверждающие документы. Отсутствие такой информации должно вызвать сомнения.

5.Проверка истории сайта:
●	Используйте сервисы вроде Archive.org (Wayback Machine), чтобы проверить историю изменений сайта. Иногда фальшивые сайты появляются внезапно и исчезают быстро, тогда как настоящие существуют длительное время.


А что ни в коем случае не стоит делать – это переходить по неизвестным ссылкам из сообщений и электронных писем. При переходе по такой ссылке у вас могут украсть доступ к социальным сетям, другую личную информацию и даже установить вредоносную программу на телефон или компьютер, с помощью которой можно будет контролировать установленные на вашем устройстве программы, в том числе банковские приложения. 
"
https://моифинансы.рф/materials/materialy-dlya-provedeniya-meropriyatiy-po-tematike-finanso,Как не стать жертвой мошенников и не стать дропом? ,"1. Не откликайтесь на предложения о работе от незнакомцев в соцсетях и мессенджерах.

Не продолжайте общение с потенциальными работодателями, если вакансия вызывает у вас сомнение. Как вариант, уточните официальное название компании и адрес её сайта и перезвоните на номер, указанный на сайте. Также посмотрите отзывы о компании. Если их нет или они все написаны как будто под копирку, это тоже «звоночек», даже если у компании есть сайт и она представлена на популярных рекрутинговых порталах.

2. Не соглашайтесь помогать незнакомым людям у банкоматов. 
 
Если банкомат расположен в офисе кредитной организации, позовите сотрудника банка для этих целей. Если банкомат стоит в торговом центре или ещё где-то, вежливо откажите собеседнику, предложив ему позвонить на горячую линию банка.

3. Не переводите деньги, зачисленные вам «по ошибке».

Прежде всего убедитесь, действительно ли была совершена ошибка перевода денег именно вам. Иногда сообщения о зачислении мошенники отправляют просто так, без перевода денег. Если сумма действительно поступила на ваш счёт, обратитесь непосредственно в службу поддержки вашего банка. Сообщите сотрудникам подробности ситуации – они помогут решить эту проблему: отменят операцию, если деньги действительно были переведены по ошибке, или обратятся в правоохранительные органы, если заподозрят мошенничество. 

"
,Как оформить самозапрет на выдачу кредитов?,"С 1 марта 2025 года можно настроить самозапрет — запретить банкам и микрофинансовым организациям (МФО) выдавать кредиты и займы на ваше имя. И таким образом защититься от мошенников, которые набирают долги по чужим документам. Рассказываем, какие особенности у этой процедуры, как установить запрет и при необходимости его отменить.
Самозапрет оформляется бесплатно. Через Госуслуги или любой многофункциональный центр (МФЦ) вы оставляете пометку в своей кредитной истории о том, что запрещаете выдавать вам кредиты и займы. Все банки и МФО обязаны изучать кредитные истории при одобрении кредитных заявок. Поэтому они сразу увидят эту отметку и откажут в выдаче денег, если кто-то попытается взять долг на ваше имя.
Пока действует самозапрет, вы тоже не сможете получить кредит. Прежде чем подавать кредитную заявку в банк или МФО, нужно будет снять самозапрет."
https://fincult.info/article/bezopasnye-pokupki-v-internete/,Как защититься от фишинга и других видов кибермошенничества?,"1. Пользуйтесь только личными устройствами

Делайте покупки, заходите в свой интернет-банк или мобильный банк только с личного компьютера, планшета и смартфона. Обязательно ставьте на них пароль.2. Защититесь от вирусов Обязательно поставьте антивирус на всех своих устройствах, включая мобильные, и регулярно обновляйте их. Хороший антивирусный пакет всегда включает защиту от фишинга и вирусных программ.3. Выбирайте безопасные сайты Никогда не открывайте ссылки, которые прислали неизвестные отправители. Но не спешите переходить на сайт, даже если получили ссылку от знакомого человека или организации. Не исключено, что мошенники взломали их аккаунт или просто создали поддельный, а теперь хотят получить доступ и к вашим данным.
"
https://fincult.info/article/moya-pervaya-bankovskaya-karta/,Как правильно пользоваться банковской картой?,"Вместе с картой сотрудник банка выдаст секретный ПИН-код от нее или попросит вас придумать его самостоятельно. Обычно можно установить ПИН-код сразу в отделении или позже — например, по телефону горячей линии банка. ПИН-код — это четыре цифры, которые нужно запомнить и никому не сообщать.На задней стороне карты написан CVC/CVV-код — три секретные цифры. Ни в коем случае нельзя никому показывать или диктовать эти цифры.CVC/CVV-код нужен для оплаты покупок в интернете. Если карта прикреплена к счету родителей, лучше уточнить у них, разрешены ли по ней онлайн-покупки. Родители могли ограничить эту опцию.Надо обязательно добавить в список контактов в своем телефоне номер горячей линии банка. Он есть на обратной стороне карты. И в любой непонятной ситуации с картой нужно звонить в банк только по этому телефону.Снимать деньги с карты лучше в банкомате своего банка. В банкоматах других банков практически всегда придется заплатить комиссию.При вводе ПИН-кода нужно прикрывать клавиатуру рукой, чтобы никто не смог его подсмотреть.К карте надо обязательно подключить СМС-оповещения. Тогда на телефон будут приходить сообщения обо всех операциях по карте. В них будет написано, сколько денег списано с карты за покупку и сколько денег осталось на карте. СМС-оповещения могут быть платными, но не стоит на них экономить — с этой услугой вы точно будете знать, когда и сколько денег списали с вашей карты.Нужно очень внимательно читать СМС-сообщения от банка. Если пришло уведомление о непонятной покупке, нужно рассказать об этом родителям. Или сразу позвонить в банк и попросить оператора горячей линии объяснить, что это за покупка. Возможно, это мошенники получили доступ к вашим деньгам. В этом случае карту нужно заблокировать. Оператор подскажет, как это сделать.

"
https://fincult.info/article/moy-pervyy-finansovyy-plan-kak-podrostku-nakopit-na-mechtu/,"Советы, которые помогут сэкономить деньги","Можно пойти с друзьями в кино, хотя фильм не очень интересный. А можно не тратить деньги на то, что не принесет ни пользы, ни удовольствия.Можно покупать сладости, чипсы и газировку на карманные деньги. А можно посчитать, сколько денег уходит на подобные покупки в месяц, и ужаснуться.Можно всегда передвигаться на общественном транспорте. А можно иногда прогуляться и сэкономить, если до цели 1–2 остановки.Можно покупать сразу то, что понравилось. А можно взять пару дней на размышления, так ли нужна эта вещь.Можно держать деньги на виду или при себе. А можно хранить в копилке или даже открыть вклад в банке.
"
https://fincult.info/article/finansovye-prilozheniya-dlya-detey/,Какие есть  финансовые приложения для детей?,"«Барбоскины: Игра супермаркет»: Простое игровое приложение для самых маленьких — от 3–4 лет. Тренирует внимание, развивает навыки счета и учит следовать плану. Герои мультфильма про семью Барбоскиных отправляются в супермаркет со списком покупок. Нужно помочь им собрать в корзину нужные товары, а потом рассчитаться на кассе. Для оплаты покупок ребенок должен выбрать подходящие по номиналу купюры или монеты. В игре есть реклама и платный контент.
«Три кота: финансы для детей»:  Приложение для детей от 4 лет. Оно поможет разобраться, что такое деньги, как их зарабатывать, копить и разумно тратить. Выполняя задания вместе с Коржиком, Карамелькой и Компотом, ребенок узнает, как пользоваться банковской картой, планировать расходы и доходы, ставить финансовые цели и достигать их.Котята объяснят, как не попасться на уловки мошенников. Разберут тему осознанного потребления и бережного отношения к окружающей среде. В финале игры ребенок сможет попробовать себя в роли предпринимателя: вместе с героями он откроет свой первый бизнес — ресторан.

«Карманные деньги за математику» Умение хорошо считать поможет детям управлять деньгами в будущем. В этом приложении есть примеры разной степени сложности. Оно натренирует дошкольников и учеников младших классов быстрее решать математические задачи. По крайней мере ваш сын или дочь точно сумеют посчитать сдачу в магазине.Еще один плюс: ребенок осознает, что с помощью смартфона можно не только играть, но и учиться.За верные ответы ребенок получает победные очки. Чем быстрее он решает задачи, тем больше очков получает на свой виртуальный баланс. В таблице личных рекордов можно оценить свой прогресс: какое число задач удалось решить и сколько времени на это ушло

«Я коплю»: Программа научит ребенка ставить финансовые цели и копить на них, вместо того чтобы спускать все карманные деньги на пустяки. Подойдет детям от 6 до 12 лет.Игрок задает цель накоплений и нужную сумму, указывает, сколько денег у него уже есть и как много он получает на карманные расходы в неделю.Постепенно ребенок привыкает записывать в приложении свои доходы и расходы. Виртуальная копилка позволяет отслеживать, насколько удалось приблизиться к желанной покупке и какую сумму еще осталось собрать. Когда накоплений будет достаточно, приложение поздравит ребенка с достижением и предложит задать новую цель. 

«Симулятор Бизнесмена 3» Мобильная бизнес-игра ориентирована на старшеклассников и студентов. Приложение учит основам предпринимательства и развивает навыки анализа финансовых ситуаций.Игроку предстоит попробовать себя в качестве бизнесмена — начать с запуска небольшой бургерной лавки, а в итоге стать владельцем крупного бизнеса. Для этого нужно будет разработать собственную стратегию роста. При этом придется решать, стоит ли брать кредиты или обходиться своими деньгами, нанимать ли профессиональных менеджеров и вкладывать ли деньги в развитие бренда компании. Чтобы добиться успеха, нужно грамотно управлять расходами, изучать конкурентов и определять оптимальную цену своей продукции. Можно зарабатывать бонусы в мини-играх и тоже вкладывать их в свое дело.
"
https://t-j.ru/pro/zhizn/1-kvartira/,Как не нарваться на мошенников при попыке снять жилье?,"У недобросовестных риелторов не будет шансов отобрать ваши деньги, если знать их уловки.

🚩 «У нас недорого, мы из агентства». Если стоимость аренды низкая, а расположение квартиры отличное, это может быть «магнитом» — так называют объявления, в которых рекламируют несуществующие квартиры, чтобы привлечь больше клиентов.

Если позвонить по такому объявлению, ответят: «Квартиру только что сдали, но есть похожие — приезжайте к нам в агентство, подберем идеальную». На самом деле нет похожих, нет идеальных, да и этой квартиры не было. Скорее всего, вам предложат купить «секретную базу собственников» с номерами телефонов случайных людей, которые знать не знают ни о каких квартирах.

🚩 «Вас тут много, а я один». Мошенники могут попросить деньги за просмотр: якобы на жилье очередь и, чтобы успеть снять квартиру, нужно внести предоплату — тогда и посмотрите первыми. Честные риелторы так не делают.

🚩 «За эту цену только голые стены». Недобросовестным риелторам не хватает комиссии за найденного клиента, и они хотят заработать больше: говорят, что аренду мебели тоже нужно оплатить. Якобы за цену в объявлении сдается только само помещение, а мебель и техника — за дополнительную плату. Собственник об этом, как правило, не знает: он уверен, что сдает сразу все — и квартиру, и мебель, и технику.

🚩 «И вообще я собственник». Мошенник представляется собственником и находит «жильцов». Договор заключать отказывается, но деньги за месяц вперед все-таки берет. Обещает приехать в выходные с документами на квартиру — тогда и можно будет заключить договор.

А вечером приходит настоящий хозяин и говорит: «Вообще-то квартира сдается посуточно, вы кто такие, уходите, я вам ничего не должен». И он прав: искать правду теперь придется в полиции."
https://t-j.ru/pro/zhizn/1-kvartira/,Какие документы надо проверить при попытке снять квартиру?,"Чтобы не пожалеть потом, сначала надо изучить документы на квартиру, а уже после обсуждать, что писать в договоре. Это действительно важно: если квартиру «сдаст» не собственник, то в любой момент явится настоящий хозяин и выставит жильцов на улицу. И будет прав.

Вот что должно быть у человека, который сдает квартиру.

Паспорт. Не водительское удостоверение, не СНИЛС, не копия паспорта — вам должны показать оригиналы паспорта все собственники квартиры.

«Забыл паспорт, вечером привезу» — это отговорка человека, который снял квартиру на сутки и теперь «сдает» ее еще десятерым. Он покажет квартиру, возьмет предоплату и пропадет.

Выписка из ЕГРН. Это документ из Росреестра, в котором указаны основные характеристики квартиры и перечислены ее собственники. Выписка должна быть свежей: в законах нет срока, сколько дней она действует, но хорошо, если выписка датирована за один-два дня до сделки, тогда вы точно будете уверены, что квартиру сдает собственник. Тем более что получить выписку сейчас просто — это можно сделать онлайн.

Если выписке 10 дней или даже месяц, это тоже нормально. Но если она годичной давности, попросите показать документ поновее. Если все законно, нет никаких причин отказывать. А если вам все же отказывают, то это повод насторожиться. Иногда наймодатель может сослаться на квитанции — смотрите, мол, в платежках за свет та же фамилия. Такой аргумент не подойдет: данные прежних собственников могут быть годами указаны в квитанциях после продажи квартиры.

Выписку заказывает сам собственник, потому что с 1 марта 2023 года в документах на чужую недвижимость нельзя посмотреть данные владельца, если только он сам это не разрешил. На госуслугах собственнику выдадут выписку бесплатно за несколько минут.

Доверенность. Бывает, договор аренды заключает родственник: сын, брат или сват. В этом случае нужен документ, который составляет нотариус, — доверенность. В ней должен быть пункт о том, что собственник дает право этому человеку сдавать квартиру в наем. Проверить, действительна ли доверенность, можно в сервисе нотариальной палаты, это бесплатно.

Если в доверенности нет срока ее действия, документ будет иметь силу один год. Максимального срока действия доверенности нет.

Та же история с риелтором. Если он подписывает договор аренды за собственника, то пусть покажет доверенность. Причем в доверенности должно быть согласие всех собственников, перечисленных в выписке ЕГРН."
